"pid","assessed_value"
1,328932.772457143
2,311035.16
3,564641.707333333
4,359869.4866
5,310728.491666667
6,280980.298733333
7,330440.020533333
8,73032.4691333334
9,263842.060466667
10,283015.1876
11,1128670.552
12,134492.046866667
13,196111.1418
14,193924.7118
15,129827.156333333
16,145553.060409524
17,188766.274409524
18,177324.1808
19,403434.415
20,379458.5352
21,290273.952666667
22,261600.674311111
23,497300.2792
24,422121.0728
25,490535.973066667
26,144200.321733333
27,258105.788809524
28,248716.1944
29,297751.083333333
30,73897.1794476191
31,533269.8978
32,109008.218860606
33,278525.961266667
34,512320.716933333
35,269435.589133333
36,196369.724933333
37,209505.968266667
38,216352.0008
39,495915.5024
40,90621.4258666667
41,104929.4996
42,393779.988466667
43,393343.279133333
44,311757.362866667
45,1063659.28405714
46,625714.636
47,176549.095666667
48,239904.691133333
49,232891.508564103
50,223202.882733333
51,471422.257833333
52,230947.362
53,144206.651333333
54,254809.385133333
55,493739.342484849
56,713094.384
57,144032.1204
58,238119.868888889
59,714144.434
60,119417.332390476
61,389359.932533333
62,114910.925142857
63,203075.885428571
64,395368.133133333
65,1149583.07733333
66,227377.858466667
67,324103.706666667
68,608472.7784
69,144473.8322
70,237799.3488
71,870844.2552
72,213959.990971429
73,552015.42572381
74,402788.366466667
75,204269.309333333
76,161916.930666667
77,219681.3828
78,333066.586666667
79,490992.678711111
80,106631.493695238
81,170596.427533333
82,171354.510489177
83,235280.379533333
84,116778.2164
85,337577.966133333
86,276184.156666667
87,257616.4204
88,223153.834266667
89,145803.440866667
90,306739.882266667
91,324122.566133333
92,273128.127066667
93,325392.108044444
94,660431.527
95,275931.912
96,352336.3178
97,334977.947266667
98,187996.133
99,325074.477
100,197554.6536
101,624452.379647619
102,260407.424266667
103,176608.885
104,294245.416733333
105,183889.8536
106,440411.602266667
107,124747.130333333
108,449546.931333333
109,153124.87875
110,314420.242
111,208584.3208
112,124457.6566
113,426233.937333333
114,228189.442133333
115,96291.8930380953
116,2504672.5908
117,290920.0132
118,341541.7288
119,211620.577488889
120,193248.842545455
121,205189.112611111
122,152248.408993939
123,187885.369466667
124,1075781.15686667
125,492098.046266667
126,280205.444755555
127,906463.433466667
128,362466.249803922
129,301267.589133333
130,136383.621969697
131,490412.9054
132,372733.216
133,306097.159333333
134,402885.725133333
135,216162.465066667
136,117194.3298
137,735216.8102
138,112370.68
139,149948.1878
140,268663.242533333
141,190997.844761905
142,249749.961933333
143,134771.035066667
144,109324.155161905
145,1009691.44786667
146,570865.091266667
147,216493.144133333
148,215074.797666667
149,175268.200761905
150,362210.106933333
151,196222.88
152,378114.2664
153,725453.328088889
154,134250.362733333
155,470770.038419048
156,269771.564727273
157,173173.650133333
158,120044.039527273
159,601349.898
160,227755.406990476
161,285432.229
162,242049.263666667
163,478358.481666667
164,480613.680866667
165,106107.182866667
166,280897.487171429
167,336224.863333333
168,253049.362374359
169,138991.562244444
170,541763.686190476
171,304023.917333333
172,153228.231177778
173,342197.598466667
174,241951.370666667
175,328961.9992
176,177798.579428571
177,277004.070888889
178,233853.732666667
179,201103.184714286
180,184457.856133333
181,402766.118209524
182,144859.955273684
183,1204359.14266667
184,274531.961733333
185,540834.104533333
186,724471.247533333
187,575479.015733333
188,539111.121333333
189,212693.8792
190,325820.137866667
191,1023110.38066667
192,925358.492866666
193,298842.481733333
194,186335.989066667
195,294294.671295238
196,141259.9412
197,605778.980357576
198,717809.866933333
199,178477.669266667
200,218175.184838095
201,1107761.9844
202,269422.622733333
203,132117.625447619
204,206524.217333333
205,337018.518466667
206,292511.1748
207,407013.459219048
208,239191.134761905
209,548593.539866667
210,708024.9416
211,337583.477555556
212,354795.807333333
213,145032.42
214,229231.0676
215,127701.344933333
216,376129.806666667
217,210842.432866667
218,274580.533133333
219,403752.324466667
220,274661.145933333
221,472323.869866667
222,131957.35987013
223,215709.437533333
224,143680.07
225,425675.257628572
226,248067.6472
227,207593.8236
228,84053.3866666667
229,333862.450133333
230,291325.746
231,228793.597819048
232,452153.666333333
233,206691.2692
234,374521.671622222
235,172704.812133333
236,317316.0598
237,127156.924866667
238,177457.397333333
239,386053.3012
240,856122.405095238
241,360085.5516
242,166393.771
243,131618.291533333
244,569487.220133334
245,171247.908838095
246,318837.062066667
247,251857.8664
248,617584.182666667
249,171324.407057143
250,398618.146
251,205862.145327485
252,570778.773066667
253,228983.439711111
254,729070.125866666
255,135806.542333333
256,418555.234733333
257,203217.1796
258,389682.857
259,341539.636977778
260,259602.503266667
261,328963.036406061
262,429578.205822222
263,317767.013066667
264,448276.914666667
265,572604.185066667
266,231779.0216
267,271185.875333333
268,389257.678266667
269,518377.6514
270,148694.017350427
271,187664.498666667
272,416151.919941176
273,213407.266466667
274,288339.5248
275,326142.6634
276,351614.4606
277,133147.048476191
278,264815.618133333
279,705742.3136
280,856864.518028572
281,244834.421933333
282,201109.4104
283,326056.475666667
284,225904.149666667
285,315541.252266667
286,749121.186666667
287,208230.500133333
288,238170.242133333
289,283206.203
290,187309.989133333
291,308445.3272
292,3137319.73613333
293,375376.6292
294,276696.5936
295,101597.805533333
296,414555.037133333
297,131155.865333333
298,584745.2556
299,283971.28461928
300,319203.050666667
301,87379.7914
302,240224.105533333
303,459200.5574
304,198136.137866667
305,225314.127266667
306,482022.9352
307,741045.233866667
308,240510.71
309,211201.352323809
310,135540.633733333
311,98245.9684952381
312,338734.371333333
313,393184.039666667
314,131746.485866667
315,118467.261
316,748316.238266667
317,313091.032536508
318,191704.756733333
319,340209.785095238
320,231220.201666667
321,143653.187378355
322,138731.113866667
323,468314.4694
324,300351.006533333
325,225720.577666667
326,219574.2808
327,196677.2563
328,351089.855533333
329,278372.328050794
330,324077.259809524
331,98019.1446666667
332,376100.776666667
333,588681.361866667
334,489289.2368
335,261351.174666667
336,169698.363533333
337,294258.131333333
338,232452.755380952
339,236881.739266667
340,2112306.96653333
341,348445.873666667
342,305953.5962
343,180867.851666667
344,123146.100380952
345,180092.821066667
