pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
1,203,71,71410,242640,52800,NA,W,3300,91,NA,3,1,6,3,1,3,1,5,1,0,2,1,0,2,2,2,2,3,1,2,2,0,1711,2,1,5,1,NA,NA,CHICAGO,60631,6872,0.8242142025611175,0.023719441210710127,0.018335273573923165,0.11044819557625145,0.04423748544819558,14000,Chicago,0,0,3,1,0,0,ONAHAN,TAFT HS,6.884772382397572,74201,FALSE,TRUE,TRUE
2,203,21,21166,255480,43750,NA,W,7000,98,NA,1,1,5,3,1,1,2,5,1,1,3,1,0,NA,NA,2,2,3,1,2,2,0,1252,2,1,1,NA,NA,1,LA GRANGE,60525,3237,0.6299042323138708,0.2242817423540315,0.020389249304911955,0.10750695088044486,0.03583565029348162,40767,La Grange,0,0,1,0,0,0,SCHOOL DISTRICT  102,LYONS TOWNSHIP HIGH SCHOOL  204,9.461,79464,FALSE,TRUE,TRUE
3,278,25,25090,416090,102340,NA,W,8355,60,NA,3,1,9,5,1,3,1,5,1,0,3,2,1,2,NA,2,2,3,3,1,1,0,2567,2,1,2,NA,NA,NA,NORTHFIELD,60093,5742,0.8650296064089168,0,0.1250435388366423,0.0073145245559038665,0.00522466039707419,53663,Northfield,0,0,1,0,0,0,SCHOOL DISTRICT 29,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.296179104477612,140789,FALSE,TRUE,TRUE
4,295,24,24031,337410,16330,NA,W,2042,20,NA,2,1,7,2,1,3,1,5,1,0,3,2,1,2,1,2,2,3,2,1,1,0,2310,2,1,2,NA,NA,NA,SKOKIE,60077,7783,0.42965437491969677,0.06822561994089682,0.29602980855711164,0.1334960812026211,0.1451882307593473,70122,Skokie,0,0,1,0,0,0,SCHOOL DISTRICT 69,COMMUNITY HIGH SCHOOL  219,11.024,58958,FALSE,TRUE,TRUE
5,211,17,17060,187030,80300,AV,W,7300,122,3,1,1,9,5,1,2,1,5,2,0,3,3,0,2,2,2,2,1,1,2,2,0,2666,2,2,2,NA,NA,NA,EVANSTON,60201,4823,0.11300020733982998,0.5357661206717811,0.02073398299813394,0.27451793489529336,0.102011196350819,24582,Evanston,0,0,3,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,48648,FALSE,TRUE,TRUE
6,202,31,31092,270870,17820,AV,W,3100,107,NA,2,1,5,2,1,3,1,2,2,0,1,1,0,2,NA,2,2,2,1,2,2,0,760,2,1,1,3,NA,1,FOREST PARK,60130,6035,0.5367025683512842,0.2311516155758078,0.11068765534382767,0.0916321458160729,0.057332228666114336,26935,Forest Park,0,0,1,0,0,1,SCHOOL DISTRICT 91,PROVISO TOWNSHIP HIGH SCHOOL 209,12.075,59485,FALSE,TRUE,TRUE
7,202,27,27020,204770,103740,NA,T,9222,125,NA,1,1,5,2,1,3,1,5,2,0,1,1,1,2,2,2,2,7,NA,NA,NA,0,942,2,1,5,1,NA,1,OAK PARK,60302,2855,0.6273204903677758,0.15621716287215412,0.03677758318739054,0.12189141856392294,0.11103327495621716,54885,Oak Park,0,0,1,0,0,0,SCHOOL DISTRICT  97,CONSOLIDATED HIGH SCHOOL  200,13.157,139189,FALSE,FALSE,TRUE
8,202,14,14010,66060,19980,NA,O,3806,98,NA,1,1,5,2,1,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,902,2,1,1,NA,NA,NA,BLUE ISLAND,60406,6215,0.0999195494770716,0.4194690265486726,1.6090104585679806e-4,0.4662912308930008,0.023652453740949316,06704,Blue Island,0,0,1,0,0,0,SCHOOL DISTRICT 130,COMMUNITY HIGH SCHOOL  218,16.067,39939,FALSE,TRUE,TRUE
9,205,71,71081,226920,54370,NA,O,3750,107,NA,1,1,6,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,1536,2,1,2,NA,NA,NA,CHICAGO,60625,4127,0.3375333171795493,0.049915192633874485,0.13472255875938938,0.38744850981342377,0.18076084322752606,14000,Chicago,0,0,1,0,0,0,VOLTA,ROOSEVELT HS,6.901516611295682,72713,FALSE,TRUE,TRUE
10,295,70,70111,245810,27600,NA,W,3451,27,NA,2,1,6,3,1,1,1,5,1,1,3,2,2,2,NA,2,2,3,2,1,1,0,2481,2,1,2,NA,NA,NA,CHICAGO,0-0,4577,0.006772995411841818,0.9737819532444832,0,0,0.03889010268734979,14000,Chicago,0,0,1,0,0,0,RUGGLES,BOWEN HS,6.88386464826358,53594,FALSE,TRUE,TRUE
